sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylene chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<20";"no water";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 100";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"100 – 147";"20 – 50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 147";"<2";"platinum";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 145";"<2";"~7 pH";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"145 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"pitting";"100";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel Cast Iron (15-35Ni)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<20";"no water";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 100";"<2";">7 pH";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"100 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Cr-Fe Alloy (600/ 690)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silicon Cast Iron (14Si)";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"7 pH";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 100";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"100 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Tantalum";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Titanium, Unalloyed";"methylene chloride";"dichloromethane";"1975-09-02";"CH2Cl2";"solvents";"";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
