sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Resin, Glass Fiber- Reinforced";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 80";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 70";"";"no water";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended; ";"100";"70 – 125";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"bromine";"";"7726-95-6";"Br2";"2";"questionable";"100";"125 – 150";"[";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended; discolored";"100";"60 – 70";"<1";"no water";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Fluororubber";"";"bromine";"saturated";"7726-95-6";"Br2";"3";"not recommended";"10";"50 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Fluororubber";"";"bromine";"vapor";"7726-95-6";"Br2";"1";"recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Fluororubber";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"3";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"bromine";"saturated";"7726-95-6";"Br2";"1";"recommended";"10";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Glass, Chemical";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nylon";"";"bromine";"aqueous solution";"7726-95-6";"Br2";"3";"not recommended";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nylon";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Perfluoroalkoxy Resins";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"100";"70 – 125";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Perfluoroalkoxy Resins";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended; strength loss";"100";"125 – 150";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Phenolic Resins, Asbestos-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"<3";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Phenolic Resins, Asbestos-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended";"3";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Phenolic Resins, Asbestos-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"bromine";"liquid";"7726-95-6";"Br2";"1";"recommended; slight weight/volume change";"10";"212";"";"90 days";"3";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Polychloroprene";"";"bromine";"saturated, vapor";"7726-95-6";"Br2";"3";"not recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Polychloroprene";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyesters, Glass Fiber-Reinforced";"";"bromine";"";"7726-95-6";"Br2";"1";"recommended; liquid not recommended, no water, wet";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyethylene (PE)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended; swollen";"10";"70 – 150";"";"in air also";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Polyethylene (PE)";"";"bromine";"wet";"7726-95-6";"Br2";"3";"not recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyethylene (PE)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";">90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Polyethylene (PE)";"";"bromine";"liquid";"7726-95-6";"Br2";"2";"questionable";"100";"60 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Polymethyl Methacrylate (PMMA)";"";"bromine";"";"7726-95-6";"Br2";"2";"questionable";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Polymethyl Methacrylate (PMMA)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"10";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Polymethyl Methacrylate (PMMA)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Polypropylene (PP)";"";"bromine";"";"7726-95-6";"Br2";"2";"questionable; intermittent exposure; saturated; may stress crack";"10";"70 – 80";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Polypropylene (PP)";"";"bromine";"";"7726-95-6";"Br2";"3";"not recommended";"10";"80 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
