sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium ferricyanide or ferrocyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cellulose Acetate Butyrate";"";"potassium ferricyanide or ferrocyanide";"ferricyanide only";"1";"recommended";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"potassium ferricyanide or ferrocyanide";"ferrocyanide";"1";"recommended";"any";"200";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"potassium ferricyanide or ferrocyanide";"ferrocyanide";"1";"recommended";"any";"200";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorinated Polyvinyl Chloride (CPVC)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorosulfonated Polyethylene";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"10 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Concrete";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"10 – 90";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Cements";"";"potassium ferricyanide or ferrocyanide";"ferrocyanide";"1";"recommended";"20";"68";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Cements";"";"potassium ferricyanide or ferrocyanide";"ferrocyanide";"1";"recommended";"20";"140";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Cements";"";"potassium ferricyanide or ferrocyanide";"ferricyanide";"1";"recommended";"50";"68";"<6";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Cements";"";"potassium ferricyanide or ferrocyanide";"ferricyanide";"1";"recommended";"50";"140";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Fluororubber";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"10 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended; ferrocyanide extends to 90%";"10 – 80";"70 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Glass, Chemical";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"10 – 80";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nylon";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"30";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polychloroprene";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"10 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyesters, Glass Fiber-Reinforced";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";">10";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";">10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyethylene (PE)";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polymethyl Methacrylate (PMMA)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polypropylene (PP)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"100";"60 – 212";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinyl Chloride (PVC)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"";"potassium ferricyanide or ferrocyanide";"saturated";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Butyl (BR)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"30 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Natural (NR)";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Natural (NR)";"";"potassium ferricyanide or ferrocyanide";"";"3";"not recommended";">10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Wood";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"10 – 90";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Wood";"";"potassium ferricyanide or ferrocyanide";"";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
