sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Iodine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"10";"70 – 150";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"20";"150 – 170";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"iodine";"vapor";"7553-56-2";"I2";"3";"not recommended";"20";"170 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Glass, Chemical";"";"iodine";"vapor; wet";"7553-56-2";"I2";"1";"recommended";"10";"70 – 250";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nylon";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"100";"60 – 70";"";"in alcohol or potassium iodide solutions";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Phenolic Resins, Asbestos-Reinforced";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polychloroprene";"";"iodine";"";"7553-56-2";"I2";"2";"questionable";"10";"60 – 70";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polychloroprene";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyesters, Glass Fiber-Reinforced";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"150 – 160";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyesters, Glass Fiber-Reinforced";"";"iodine";"vapor";"7553-56-2";"I2";"1";"recommended";"100";"160 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyethylene (PE)";"";"iodine";"";"7553-56-2";"I2";"2";"questionable";"10";"60 – 70";"";"in alcohol";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyethylene (PE)";"";"iodine";"crystal, powders, solids";"7553-56-2";"I2";"2";"questionable";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polymethyl Methacrylate (PMMA)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polypropylene (PP)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"0.1";"60 – 150";"<6";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polypropylene (PP)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"40 – 50";"60 – 70";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polypropylene (PP)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinyl Chloride (PVC)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"10";"70 – 80";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinyl Chloride (PVC)";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinylidene Fluoride (PVDF)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"100";"70 – 150";"";"no water, wet";"1, 23";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Rubber, Butyl (BR)";"";"iodine";"";"7553-56-2";"I2";"2";"questionable";"10";"70 – 150";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Natural (NR)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"10";"60 – 70";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Natural (NR)";"";"iodine";"";"7553-56-2";"I2";"2";"questionable";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Styrene Acrylonitrile Copolymer (SAN)";"";"iodine";"";"7553-56-2";"I2";"1";"recommended";"3";"70 – 125";"";"in alcohol";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Styrene Acrylonitrile Copolymer (SAN)";"";"iodine";"";"7553-56-2";"I2";"3";"not recommended";"80";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Vinyl Ester Resins";"";"iodine";"crystals";"7553-56-2";"I2";"1";"recommended";"100";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Vinyl Ester Resins";"";"iodine";"vapor";"7553-56-2";"I2";"1";"recommended";"100";"150 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Wood";"";"iodine";"";"7553-56-2";"I2";"1";"recommended; not recommended for tincture";"80 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
