sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Wood";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";""
"21";"Wood";"";"arsenic acid";"orthoarsenic acid";"";"7778-39-4";"AsH3O4";"inorganic acids";"";"1";"recommended; tanks; 0.01%; >13 years; with 0.1% copper sulfate";"10";"32 – 90";">12";"";"1";"";"";"";"";"";"";"";"";""
"22";"Wood";"";"ascorbic acid";"";"medicine";"";"";"organic (weak) acids";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"23";"Wood";"";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"";"";"pharmaceuticals";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"24";"Wood";"";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"";"1";"recommended";"10 – 60";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";""
"25";"Wood";"";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"26";"Wood";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"27";"Wood";"";"benzenesulfonic acid";"";"";"";"";"surfactants & detergents";"";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"28";"Wood";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";""
"29";"Wood";"";"benzotrifluoride";"(trifluoromethyl)benzene";"";"1998-08-08";"C7H5F3";"aromatics";"";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"30";"Wood";"";"benzyl chloride";"(chloromethyl)benzene";"";"100-44-7";"C7H7Cl";"halogenated aromatics";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"31";"Wood";"";"boric acid";"";"";"";"";"inorganic acids";"";"1";"recommended";"10";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";""
"32";"Wood";"";"bromine";"";"";"7726-95-6";"Br2";"";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"33";"Wood";"";"butyl acetate";"";"";"123-86-4";"C6H12O2";"esters";"";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"34";"Wood";"";"butyl alcohol";"1-butanol";"";"71-36-3";"C4H10O";"alcohols";"";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"35";"Wood";"";"butyric acid";"butanoic acid";"";"107-92-6";"C4H8O2";"organic (weak) acids";"";"2";"questionable; pine and cypress tanks";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"36";"Wood";"";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"";"2";"questionable; swollen";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"37";"Wood";"";"calcium hydroxide";"";"";"1305-62-0";"CaH2O2";"hydroxides";"";"2";"questionable; swollen; may dissolve";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"38";"Wood";"";"calcium hypochlorite";"";"";"";"";"salts";"";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"39";"Wood";"";"calcium hypochlorite";"";"";"";"";"salts";"";"3";"not recommended";"10 – 90";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";""
"40";"Wood";"";"calcium sulfate";"";"";"7778-18-9";"CaO4S";"salts";"";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"41";"Wood";"";"calcium sulfite";"";"";"";"";"salts";"";"1";"recommended; pine and cypress tanks";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";""
"42";"Wood";"";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"43";"Wood";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"";"1";"recommended";"10";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"44";"Wood";"";"carbon tetrachloride";"tetrachloromethane";"";"56-23-5";"CCl4";"solvents";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"45";"Wood";"";"carbonyl chloride";"";"";"";"";"";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"46";"Wood";"";"chloramine";"";"";"";"";"amines";"";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"47";"Wood";"";"chlorine";"";"";"7782-50-5";"Cl2";"";"";"1";"recommended";"10";"60 – 70";"";"cypress, pine, or redwood";"1";"";"";"";"";"";"";"";"";""
"48";"Wood";"";"chlorine";"";"";"7782-50-5";"Cl2";"";"";"1";"recommended";"100";"60 – 70";"";"no water, wet";"1";"";"";"";"";"";"";"";"";""
"49";"Wood";"";"chloroacetic acid";"";"";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";""
"50";"Wood";"";"chlorobenzene";"phenyl chloride";"";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
