sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Tannic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"tannic acid";"";"natural products";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Glass, Chemical";"";"tannic acid";"";"natural products";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"tannic acid";"";"natural products";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Phenolic Resins, Asbestos-Reinforced";"";"tannic acid";"";"natural products";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polychloroprene";"";"tannic acid";"";"natural products";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyesters, Glass Fiber-Reinforced";"";"tannic acid";"";"natural products";"1";"recommended";"10 – 90";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyethylene (PE)";"";"tannic acid";"";"natural products";"1";"recommended";"10";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyethylene (PE)";"";"tannic acid";"";"natural products";"1";"recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polymethyl Methacrylate (PMMA)";"";"tannic acid";"";"natural products";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"tannic acid";"";"natural products";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polypropylene (PP)";"";"tannic acid";"";"natural products";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polypropylene (PP)";"";"tannic acid";"";"natural products";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinyl Chloride (PVC)";"";"tannic acid";"";"natural products";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Fluoride (PVDF)";"Kynar";"tannic acid";"";"natural products";"1";"recommended";"100";"70 – 225";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"";"tannic acid";"";"natural products";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Natural (NR)";"";"tannic acid";"";"natural products";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Vinyl Ester Resins";"";"tannic acid";"";"natural products";"1";"recommended";"any";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Wood";"";"tannic acid";"";"natural products";"1";"recommended";">10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
